"","","cumulative_prob"
"80.5%",800675.861780613,0.805
"80.6%",804525.445518985,0.806
"80.7%",809104.780593152,0.807
"80.8%",812356.335336962,0.808
"80.9%",816504.367124014,0.809
"81.0%",819988.786994512,0.81
"81.1%",823534.124869656,0.811
"81.2%",828172.769480291,0.812
"81.3%",832855.07624027,0.813
"81.4%",837513.020408855,0.814
"81.5%",842540.36402626,0.815
"81.6%",847467.37801463,0.816
"81.7%",851832.411376123,0.817
"81.8%",856313.457691846,0.818
"81.9%",860178.360567939,0.819
"82.0%",865411.594983117,0.82
"82.1%",870063.523628159,0.821
"82.2%",875630.942402098,0.822
"82.3%",881743.02061387,0.823
"82.4%",886801.748412973,0.824
"82.5%",892190.506812182,0.825
"82.6%",896529.579039509,0.826
"82.7%",901939.064278999,0.827
"82.8%",906966.690423978,0.828
"82.9%",912677.127780715,0.829
"83.0%",918785.769124591,0.83
"83.1%",925249.68385057,0.831
"83.2%",931428.624839325,0.832
"83.3%",937258.470859829,0.833
"83.4%",942999.017304559,0.834
"83.5%",948561.882874582,0.835
"83.6%",954887.576353447,0.836
"83.7%",961118.251064672,0.837
"83.8%",968422.060760255,0.838
"83.9%",973730.900944273,0.839
"84.0%",979329.50920706,0.84
"84.1%",986342.414449357,0.841
"84.2%",992777.32394459,0.842
"84.3%",1000157.46187081,0.843
"84.4%",1001946.14875999,0.844
"84.5%",1003694.8477397,0.845
"84.6%",1005385.84632389,0.846
"84.7%",1007277.58757776,0.847
"84.8%",1008777.46304833,0.848
"84.9%",1010827.23739921,0.849
"85.0%",1012709.33904793,0.85
"85.1%",1014760.89113588,0.851
"85.2%",1016615.92794004,0.852
"85.3%",1018643.36819732,0.853
"85.4%",1020658.93363682,0.854
"85.5%",1022690.41361418,0.855
"85.6%",1025053.57488803,0.856
"85.7%",1027293.75243017,0.857
"85.8%",1029320.80763218,0.858
"85.9%",1031165.20614859,0.859
"86.0%",1033362.82315081,0.86
"86.1%",1035192.13468714,0.861
"86.2%",1037603.32376849,0.862
"86.3%",1039980.26871327,0.863
"86.4%",1042277.79949899,0.864
"86.5%",1044156.52295391,0.865
"86.6%",1046937.73803461,0.866
"86.7%",1049237.78336464,0.867
"86.8%",1051773.78662933,0.868
"86.9%",1054256.71859051,0.869
"87.0%",1056756.66273733,0.87
"87.1%",1059425.18050422,0.871
"87.2%",1062022.49704868,0.872
"87.3%",1064388.8177072,0.873
"87.4%",1066756.85455586,0.874
"87.5%",1069596.06745703,0.875
"87.6%",1072490.71223923,0.876
"87.7%",1075360.41643482,0.877
"87.8%",1078228.25398564,0.878
"87.9%",1081590.52601815,0.879
"88.0%",1084906.70227295,0.88
"88.1%",1088485.83297363,0.881
"88.2%",1091939.54856265,0.882
"88.3%",1095344.89841507,0.883
"88.4%",1099062.93762668,0.884
"88.5%",1103177.38279855,0.885
"88.6%",1106678.85796361,0.886
"88.7%",1110009.01798295,0.887
"88.8%",1113736.96393579,0.888
"88.9%",1117473.42704637,0.889
"89.0%",1121335.32731516,0.89
"89.1%",1125235.02363412,0.891
"89.2%",1129849.34903574,0.892
"89.3%",1134179.29828854,0.893
"89.4%",1138393.10401447,0.894
"89.5%",1142918.71615282,0.895
"89.6%",1147414.3575936,0.896
"89.7%",1152165.46350345,0.897
"89.8%",1157572.90646053,0.898
"89.9%",1162440.35158253,0.899
"90.0%",1167378.16361693,0.9
"90.1%",1171924.86396155,0.901
"90.2%",1176807.17040829,0.902
"90.3%",1182011.67236035,0.903
"90.4%",1187770.00119013,0.904
"90.5%",1194535.24037407,0.905
"90.6%",1200788.5019279,0.906
"90.7%",1206471.59176228,0.907
"90.8%",1212765.43208324,0.908
"90.9%",1220131.54980865,0.909
"91.0%",1227132.91478006,0.91
"91.1%",1233582.7102254,0.911
"91.2%",1239654.56590217,0.912
"91.3%",1246853.14610513,0.913
"91.4%",1256166.04897509,0.914
"91.5%",1263924.00007888,0.915
"91.6%",1270971.34822279,0.916
"91.7%",1280177.21434017,0.917
"91.8%",1287891.39180378,0.918
"91.9%",1297401.36731319,0.919
"92.0%",1306540.65823042,0.92
"92.1%",1316325.05342122,0.921
"92.2%",1327822.41575553,0.922
"92.3%",1342125.0521753,0.923
"92.4%",1353034.78523075,0.924
"92.5%",1362449.57444835,0.925
"92.6%",1376331.43765516,0.926
"92.7%",1390522.99282243,0.927
"92.8%",1406593.21715009,0.928
"92.9%",1420673.54279752,0.929
"93.0%",1435224.51697135,0.93
"93.1%",1449550.18912026,0.931
"93.2%",1465879.51456699,0.932
"93.3%",1483409.6064501,0.933
"93.4%",1501751.79820236,0.934
"93.5%",1523023.00750274,0.935
"93.6%",1541803.46952773,0.936
"93.7%",1561844.86579781,0.937
"93.8%",1588112.85164749,0.938
"93.9%",1618865.95692361,0.939
"94.0%",1643244.26057863,0.94
"94.1%",1670877.76797344,0.941
"94.2%",1699452.64611131,0.942
"94.3%",1735055.78483372,0.943
"94.4%",1767514.58691359,0.944
"94.5%",1797375.15334654,0.945
"94.6%",1833486.25922476,0.946
"94.7%",1868174.90724265,0.947
"94.8%",1910758.55322823,0.948
"94.9%",1947134.90300015,0.949
"95.0%",1994156.48297835,0.95
"95.1%",2013026.01336461,0.951
"95.2%",2025819.41771164,0.952
"95.3%",2038618.08135682,0.953
"95.4%",2052203.08942731,0.954
"95.5%",2067680.55614763,0.955
"95.6%",2084238.82676294,0.956
"95.7%",2105181.19053507,0.957
"95.8%",2121965.0575379,0.958
"95.9%",2142990.95926058,0.959
"96.0%",2164301.61835738,0.96
"96.1%",2189937.57305389,0.961
"96.2%",2219595.06940499,0.962
"96.3%",2253126.84650015,0.963
"96.4%",2284492.38596707,0.964
"96.5%",2321278.38068564,0.965
"96.6%",2364003.12471104,0.966
"96.7%",2409127.5393264,0.967
"96.8%",2448778.95452695,0.968
"96.9%",2503789.81998837,0.969
"97.0%",2562242.30290973,0.97
"97.1%",2633742.80115929,0.971
"97.2%",2713290.97966708,0.972
"97.3%",2784337.16622683,0.973
"97.4%",2848418.77642505,0.974
"97.5%",2945644.73673714,0.975
"97.6%",3029631.21523548,0.976
"97.7%",3084890.6740302,0.977
"97.8%",3157188.62832446,0.978
"97.9%",3238327.06075944,0.979
"98.0%",3344473.42801595,0.98
"98.1%",3458634.11672629,0.981
"98.2%",3586829.09105547,0.982
"98.3%",3719512.98514531,0.983
"98.4%",3911899.36088593,0.984
"98.5%",4059616.96350595,0.985
"98.6%",4199579.10987038,0.986
"98.7%",4375212.26862725,0.987
"98.8%",4609346.10959594,0.988
"98.9%",4868486.12474468,0.989
"99.0%",5038415.22336873,0.99
"99.1%",5112330.90231953,0.991
"99.2%",5233053.74741254,0.992
"99.3%",5382366.86793203,0.993
"99.4%",5566618.86636128,0.994
"99.5%",5878372.62897966,0.995
"99.6%",6266863.90898156,0.996
"99.7%",6811092.04264421,0.997
"99.8%",7653944.0793409,0.998
"99.9%",10072397.759804,0.999
"100.0%",58847514.9043959,1
